zc..,alpha_c..,beita_c..,zb1..,alpha_b1..,zb2..,alpha_b2..,F1,F2,F3,F4,zc,zc.,zb1,zb1.,zb2,zb2.
-0.444690406,0.43280226,0.154410332,-0.86843884,-0.077462576,0.117082216,0.564219892,-5147.390137,-1698.672974,-763.4177246,-2169.870605,5.008071899,-0.049261898,2.018154621,-0.159021065,1.998864651,-0.076101109
-0.526663899,0.493335187,0.151922181,-0.831667602,-0.137855172,0.57750535,0.313526779,-5475.286621,-2127.198975,-1091.972046,-2132.432373,5.007555485,-0.054139771,2.0165236,-0.167120412,1.998113275,-0.073489033
-0.576587558,0.491682589,0.171473548,-0.730185091,-0.090680592,0.989128053,0.419334024,-5650.487793,-2502.570313,-1119.062134,-1948.775879,5.006987095,-0.059679855,2.014811277,-0.175213903,1.997417092,-0.065120809
-0.600496113,0.469289154,0.180793896,-0.341103584,-0.106667526,0.819788337,0.306003183,-5454.245605,-2558.313232,-1372.92981,-2056.842285,5.006361008,-0.06558156,2.013028622,-0.180713981,1.996814013,-0.05576076
-0.605882347,0.430362701,0.158475667,0.13333793,-0.119964115,0.447488278,0.190770894,-4957.536621,-2349.045898,-1771.649536,-2351.928467,5.005674839,-0.071626291,2.011212587,-0.181746751,1.996291041,-0.049419668
-0.594032705,0.376535267,0.108555973,0.542896152,-0.130964041,0.192752019,0.073498644,-4277.364746,-1983.321045,-2114.391357,-2634.30127,5.004928589,-0.077639893,2.009409428,-0.178283572,1.995813966,-0.046377324
-0.562163234,0.309854716,0.04714312,0.839724302,-0.138930559,0.148794144,-0.04266385,-3503.84668,-1541.985352,-2261.959473,-2764.332275,5.004122734,-0.083437487,2.007659197,-0.171287522,1.995358348,-0.044815149
-0.507739484,0.232776806,-0.011642834,1.050439954,-0.143129736,0.23451902,-0.154577345,-2675.992432,-1054.203247,-2188.450195,-2714.367432,5.003261089,-0.088804662,2.005992174,-0.161789611,1.994918823,-0.04294857
-0.430910468,0.148090705,-0.061824892,1.223140121,-0.142828628,0.33029452,-0.259103745,-1797.744995,-513.7532349,-1940.266724,-2527.810547,5.0023489,-0.093514346,2.004429817,-0.150408372,1.994502902,-0.040096648
-0.333746105,0.027627774,-0.105081908,1.551074386,-1.222619057,0.319709122,-2.554951191,-715.9985352,151.8003845,-1513.315186,-2382.272949,5.001393795,-0.097353421,2.002990007,-0.137153983,1.994119287,-0.036600947
-0.199954033,-0.130884215,-0.183191717,2.731898785,-0.089718968,-0.033336647,-0.357551754,1174.030762,1694.981567,-1278.555054,-2393.778076,5.000405788,-0.100053698,2.001722813,-0.114535555,1.993761539,-0.035494536
-0.044364784,-0.20369491,-0.266263545,2.510216951,-0.024791397,0.013524322,-0.328102112,2302.9646,2584.878174,-777.420166,-2018.741333,4.999398232,-0.101277456,2.00071454,-0.087461941,1.993404388,-0.035864707
0.102300853,-0.258145154,-0.297798604,1.617942691,0.040475905,0.316232264,-0.293445617,2732.288574,2843.097656,38.42075348,-1288.514771,4.998385429,-0.1009745,1.999950886,-0.06665507,1.993051052,-0.034331206
0.231379971,-0.293297142,-0.269660383,0.839835823,0.106273375,0.667547345,-0.25112772,2848.188965,2850.510986,1045.267334,-338.8465881,4.997383118,-0.099294059,1.999350309,-0.054652657,1.992729783,-0.029378194
0.349568784,-0.309014976,-0.205695257,0.495939136,0.170485824,0.916981578,-0.203582004,2976.702148,2933.006836,2081.607666,669.4585571,4.996404171,-0.096384689,1.998838186,-0.048305493,1.992474198,-0.021345159
0.464787692,-0.306010932,-0.134293139,0.471406698,0.230997935,1.020228148,-0.153200731,3214.955322,3185.393799,3035.637939,1623.551514,4.995459557,-0.092312165,1.998378754,-0.043612882,1.992308974,-0.011554737
0.578137517,-0.285766423,-0.071455196,0.506848872,0.285681963,1.019989371,-0.102389947,3488.096191,3528.501709,3868.648438,2482.047363,4.994561672,-0.087094747,1.997967005,-0.038681496,1.99224472,-0.00130231
0.684683561,-0.25044331,-0.01923898,0.437262714,0.332403153,0.988494217,-0.053562671,3686.835205,3846.942383,4591.634277,3251.835938,4.993721485,-0.080772899,1.997604847,-0.033857521,1.992282152,0.008739549
0.769368231,-0.0980106,0.051200405,-0.707823098,0.335189015,1.404414535,-0.069250457,2959.527588,3427.730713,5421.330566,4393.113281,4.992949486,-0.073472366,1.997272849,-0.034530859,1.992424011,0.020394538
0.822640359,-0.053051919,0.152859211,-0.977102041,0.312111467,1.4698838,-0.103891708,2521.175537,3189.906006,6121.873535,5201.655762,4.992254257,-0.065497659,1.996882558,-0.043931819,1.992701411,0.035167012
0.8678056,-0.016118003,0.217755392,-0.332391411,0.272232383,1.135770679,-0.154756233,2762.270996,3593.032471,6431.444336,5522.708008,4.991641521,-0.05704597,1.996403575,-0.050868545,1.993121743,0.048394464
0.915712535,0.010717825,0.220149323,0.439902484,0.224340722,0.681735456,-0.203524366,3369.929688,4355.663086,6427.245605,5489.990234,4.991115093,-0.04813033,1.995892406,-0.050175022,1.993654609,0.057475649
0.961842418,0.026435904,0.175448105,0.854964316,0.169072062,0.315285295,-0.248210669,3970.885986,5099.969238,6277.70459,5271.167969,4.990680218,-0.038737357,1.995421529,-0.043359809,1.994256496,0.062348571
0.996328294,0.030710146,0.113190025,0.881841362,0.107622549,0.101817779,-0.285981715,4370.158203,5627.53125,6101.841309,4987.169434,4.990341663,-0.028934315,1.99503231,-0.034447223,1.994891524,0.064323559
1.012942314,0.023892408,0.054754153,0.737244427,0.041206568,-0.004304641,-0.313983232,4571.865234,5939.844727,5934.012695,4676.634766,4.990102768,-0.018873405,1.994729638,-0.026314208,1.995537758,0.0647607
